mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,fast
4.582575695,6,160,110,3.9,2.62,16.46,0,1,4,4,1
4.582575695,6,160,110,3.9,2.875,17.02,0,1,4,4,1
4.774934555,4,108,93,3.85,2.32,18.61,1,1,4,1,1
4.626013402,6,258,110,3.08,3.215,19.44,1,0,3,1,1
4.324349662,8,360,175,3.15,3.44,17.02,0,0,3,2,1
4.254409477,6,225,105,2.76,3.46,20.22,1,0,3,1,1
3.78153408,8,360,245,3.21,3.57,15.84,0,0,3,4,0
4.939635614,4,146.7,62,3.69,3.19,20,1,0,4,2,1
4.774934555,4,140.8,95,3.92,3.15,22.9,1,0,4,2,1
4.38178046,6,167.6,123,3.92,3.44,18.3,1,0,4,4,1
4.219004622,6,167.6,123,3.92,3.44,18.9,1,0,4,4,1
4.049691346,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1
4.159326869,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1
3.898717738,8,275.8,180,3.07,3.78,18,0,0,3,3,0
3.224903099,8,472,205,2.93,5.25,17.98,0,0,3,4,0
3.224903099,8,460,215,3,5.424,17.82,0,0,3,4,0
3.834057903,8,440,230,3.23,5.345,17.42,0,0,3,4,0
5.692099788,4,78.7,66,4.08,2.2,19.47,1,1,4,1,1
5.513619501,4,75.7,52,4.93,1.615,18.52,1,1,4,2,1
5.822370651,4,71.1,65,4.22,1.835,19.9,1,1,4,1,1
4.636809248,4,120.1,97,3.7,2.465,20.01,1,0,3,1,1
3.937003937,8,318,150,2.76,3.52,16.87,0,0,3,2,0
3.898717738,8,304,150,3.15,3.435,17.3,0,0,3,2,0
3.646916506,8,350,245,3.73,3.84,15.41,0,0,3,4,0
4.38178046,8,400,175,3.08,3.845,17.05,0,0,3,2,1
5.224940191,4,79,66,4.08,1.935,18.9,1,1,4,1,1
5.099019514,4,120.3,91,4.43,2.14,16.7,0,1,5,2,1
5.513619501,4,95.1,113,3.77,1.513,16.9,1,1,5,2,1
3.974921383,8,351,264,4.22,3.17,14.5,0,1,5,4,0
4.438468204,6,145,175,3.62,2.77,15.5,0,1,5,6,1
3.872983346,8,301,335,3.54,3.57,14.6,0,1,5,8,0
4.626013402,4,121,109,4.11,2.78,18.6,1,1,4,2,1
